,價格,烘焙項目,總烘焙時間,總鍋數,豆子種類
0,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
1,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
2,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
3,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
4,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
5,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
6,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
7,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
8,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
9,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
10,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
11,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
12,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
13,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
14,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
15,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
16,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
17,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
18,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
19,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
20,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
21,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
22,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
23,2410,"Counter({'衣索匹亞': 3, '瓜地馬拉': 2, '肯亞': 1})",100,6,"{'衣索匹亞', '肯亞', '瓜地馬拉'}"
